Hospital,Latitude,Longditude,PC Above Four Weeks
Altnagelvin Area               ,54.98586,-7.292662,25.6263
Antrim Area                   ,54.73376,-6.18688,31.789
Ards MIU                       ,54.59486,-5.70591,0.0009
Armagh Community               ,54.350679,-6.642694,0.0078
Bangor MIU                     ,54.350679,-5.6626,0.0025
Belfast City                   ,54.6587,-5.9409,25.5345
Causeway                     ,55.124272,-6.651202,23.2256
Craigavon Area               ,54.434523,-6.409912,23.1091
Daisy Hill                     ,54.179651,-6.35072,12.935
Downe                          ,54.3223,-5.69429,9.3925
Lagan Valley                  ,54.50573,-6.04643,11.2885
Mater                         ,54.60823,-5.93941,27.0159
Mid-Ulster                    ,54.7617,-6.6167,0.6324
RBHSC                          ,54.59184,-5.95807,14.3544
Royal Victoria                 ,54.59411,-5.95352,21.6804
South Tyrone                  ,54.510156,-6.768836,0.0127
South West Acute               ,54.36573,-7.638149,12.6981
The Royal                      ,54.59411,-5.95352,0
Tyrone County                  ,54.510156,-6.768836,0.207
Ulster                         ,54.597,-5.812,26.0501
Whiteabbey                      ,54.67212,-5.91093,0.4318
